               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.029864,            0.027198,                   0,             0.89501,             0.83411,             0.90325,             0.65631,            0.026863,            0.019917,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.028919,            0.026736,                   0,              0.8984,             0.82178,             0.89965,             0.64976,            0.026919,            0.020117,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.030052,            0.027432,                   0,             0.89917,             0.83135,             0.90355,             0.65509,            0.026733,            0.020072,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.029642,            0.026862,                   0,             0.90015,             0.84272,             0.90894,             0.66302,            0.026612,            0.019632,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.029083,            0.026093,                   0,             0.90246,             0.82409,             0.90082,             0.65655,            0.026977,            0.020224,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028928,            0.026252,                   0,             0.88469,             0.83231,             0.89677,             0.64714,            0.027021,            0.020603,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02937,            0.026327,                   0,             0.90081,             0.83077,             0.90395,             0.65793,            0.026691,            0.020062,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.029314,            0.026523,                   0,             0.89045,             0.84386,             0.90594,             0.66114,            0.026623,            0.019735,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.029382,            0.026466,                   0,              0.8889,             0.84052,             0.90009,             0.65672,            0.026713,            0.020129,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.028924,            0.026002,                   0,             0.89305,             0.84129,             0.90767,             0.66064,            0.026692,            0.020068,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.028776,            0.026174,                   0,              0.8998,             0.84386,             0.90793,             0.66933,            0.026283,            0.019494,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028812,            0.026354,                   0,             0.90652,             0.83923,             0.90914,             0.66925,            0.025995,            0.019645,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,             0.02849,            0.025686,                   0,             0.88388,             0.83856,             0.90367,             0.66013,            0.026478,            0.020065,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.028835,            0.026462,                   0,             0.91687,             0.81572,             0.90424,              0.6639,            0.026215,            0.020052,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.028224,            0.025354,                   0,              0.9113,             0.83369,              0.9108,             0.66843,            0.026148,            0.019822,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.028763,            0.025925,                   0,             0.90003,             0.84157,             0.90684,             0.66822,            0.026009,            0.019757,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,             0.02824,            0.025477,                   0,             0.90036,             0.83766,             0.90708,             0.67131,            0.025934,             0.01972,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.028455,             0.02558,                   0,              0.8963,             0.83847,             0.90583,             0.66693,            0.026237,            0.019795,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028376,            0.025788,                   0,             0.91055,             0.83487,             0.90779,             0.67314,            0.025921,            0.019312,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.027968,            0.025265,                   0,             0.90883,             0.83333,             0.90894,             0.67088,            0.026043,            0.019619,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.028464,            0.026143,                   0,             0.88298,             0.85157,             0.90958,             0.67428,            0.025642,            0.019567,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.028068,            0.025034,                   0,             0.89596,             0.84919,             0.90583,             0.67669,            0.025646,            0.019562,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.028261,            0.025616,                   0,             0.89761,             0.84426,             0.91134,             0.67905,             0.02577,            0.019229,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027667,            0.025118,                   0,             0.89826,             0.85709,             0.91265,             0.67632,            0.025584,            0.019348,                   0,            0.008317,            0.008317,            0.008317
                  87,               0.028,            0.025398,                   0,             0.90397,             0.84309,             0.91264,             0.67711,            0.025652,            0.019165,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.028044,            0.025039,                   0,             0.92566,             0.84361,             0.91684,             0.68369,            0.025331,            0.018899,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.027568,            0.024576,                   0,             0.90131,             0.85605,             0.91501,             0.68378,            0.025208,            0.018909,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.028366,            0.025564,                   0,             0.89235,             0.85157,             0.91056,             0.67842,            0.025467,            0.019439,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.027872,            0.025316,                   0,             0.90164,             0.83436,             0.90286,             0.67518,            0.025504,            0.019666,                   0,            0.008218,            0.008218,            0.008218
                  92,              0.0275,            0.024898,                   0,             0.90365,             0.86221,             0.91497,             0.68771,            0.024871,            0.018802,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.027464,            0.024711,                   0,             0.90797,             0.85135,              0.9121,             0.68288,            0.025051,            0.019084,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.027583,            0.024809,                   0,             0.90806,             0.85983,             0.91879,             0.68422,            0.024903,            0.018826,                   0,           0.0081586,           0.0081586,           0.0081586
