               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.033826,            0.030876,                   0,             0.85438,             0.77247,             0.85687,             0.57475,            0.031362,            0.023217,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.034636,            0.031597,                   0,             0.86733,             0.79076,             0.86425,             0.58143,            0.031175,            0.022629,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,             0.03434,            0.030956,                   0,             0.87829,             0.77966,             0.86719,             0.59029,            0.030877,            0.022325,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.034038,            0.030071,                   0,             0.87679,               0.783,             0.86475,             0.58531,            0.030907,            0.022677,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.033706,            0.030518,                   0,             0.85861,             0.79481,             0.86721,              0.5836,            0.030755,            0.022726,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.034032,            0.030417,                   0,              0.8724,             0.79404,             0.87098,             0.58568,            0.030946,            0.022599,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.033927,            0.030673,                   0,             0.87986,             0.78095,             0.86476,              0.5861,            0.030854,            0.022324,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,             0.03418,            0.030439,                   0,             0.85826,             0.78659,             0.86155,              0.5857,            0.030985,            0.022358,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.033533,            0.030016,                   0,             0.88122,             0.79067,             0.87019,             0.59059,             0.03096,            0.022317,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033713,            0.030247,                   0,             0.86217,             0.79327,             0.86973,             0.59175,            0.030657,            0.022309,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.033664,            0.030682,                   0,             0.85449,              0.8068,             0.86961,             0.59128,            0.030848,            0.022493,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.033546,            0.029968,                   0,             0.87094,             0.79404,             0.87511,             0.59317,            0.030716,            0.022314,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03348,            0.030439,                   0,              0.8754,             0.79751,             0.87167,             0.59069,            0.030683,            0.022039,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.033152,            0.029563,                   0,             0.88657,             0.79282,             0.87183,              0.5936,            0.030563,            0.022125,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.033765,            0.030152,                   0,             0.88051,             0.80072,             0.87652,              0.5975,            0.030649,            0.022016,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.033064,            0.029657,                   0,             0.87713,             0.78646,             0.87067,              0.5968,            0.030426,             0.02215,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.033064,            0.029657,                   0,             0.87269,             0.80446,             0.87784,             0.59787,            0.030534,            0.021714,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.033027,            0.030011,                   0,                0.87,             0.80431,             0.87822,             0.60408,            0.030159,            0.021851,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.032907,            0.029497,                   0,              0.8848,             0.79507,             0.87909,              0.6032,            0.030091,            0.021786,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.033345,            0.030491,                   0,             0.88005,             0.79886,              0.8779,             0.60346,            0.029929,            0.021735,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03294,            0.029108,                   0,             0.89713,             0.80072,             0.88081,             0.60724,            0.030162,            0.021682,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032871,            0.029638,                   0,             0.87122,             0.80962,             0.87807,             0.60733,            0.029743,            0.021542,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032637,            0.029364,                   0,             0.87756,             0.80663,             0.87825,             0.60142,            0.030208,            0.021791,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.032854,            0.029604,                   0,             0.87677,             0.80175,             0.87948,             0.60571,            0.029999,            0.021652,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.032847,             0.02926,                   0,             0.88908,              0.8074,             0.88339,             0.60524,            0.029761,            0.021567,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.032329,            0.028899,                   0,             0.89048,             0.80804,             0.88216,             0.61223,            0.029585,            0.021377,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.033107,            0.029727,                   0,              0.8742,             0.81587,             0.88263,             0.61031,            0.029805,            0.021609,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.032742,            0.029385,                   0,             0.88055,             0.81228,             0.88242,               0.609,            0.029646,            0.021448,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.032329,            0.028924,                   0,             0.88152,             0.81561,             0.88681,             0.61542,            0.029493,            0.021243,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,             0.03244,            0.029052,                   0,             0.88626,             0.80971,              0.8829,             0.61181,            0.029422,            0.021535,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,             0.03244,            0.029052,                   0,             0.88533,             0.80898,             0.88484,              0.6138,            0.029364,            0.021536,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.032435,             0.02925,                   0,             0.88534,             0.81693,              0.8838,             0.61676,            0.029366,            0.021361,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.032336,            0.028787,                   0,             0.87294,             0.81513,             0.88345,             0.61202,            0.029322,             0.02147,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.032442,            0.028835,                   0,              0.8869,             0.81613,             0.88059,             0.61312,            0.029391,            0.021241,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.032467,             0.02935,                   0,             0.87521,             0.81459,             0.88223,             0.61343,            0.029246,            0.021385,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.032452,            0.028873,                   0,             0.88162,             0.81662,             0.88733,             0.61677,            0.029175,            0.021117,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.032363,            0.029144,                   0,             0.88365,             0.80508,             0.88292,             0.61607,             0.02929,            0.021305,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032046,             0.02824,                   0,             0.88068,             0.81895,             0.88654,             0.61975,            0.029047,            0.021286,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.031853,            0.028149,                   0,             0.88437,              0.8169,             0.88632,             0.62035,            0.028908,            0.021106,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.031623,            0.028333,                   0,             0.88753,             0.81871,             0.88993,             0.62257,            0.028899,            0.020847,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.031638,             0.02787,                   0,             0.89026,             0.81665,             0.88914,              0.6232,            0.029011,            0.020882,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.031673,            0.028145,                   0,             0.90256,             0.81587,             0.89208,             0.62756,            0.028934,            0.020771,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.031668,            0.028459,                   0,             0.88826,             0.82306,             0.89094,             0.62498,            0.029035,            0.020596,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.031877,            0.028561,                   0,             0.90566,             0.80894,             0.89044,             0.62738,             0.02891,            0.020623,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.032008,             0.02902,                   0,             0.88778,             0.81715,             0.88851,             0.62717,            0.028789,            0.020689,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.032097,            0.028368,                   0,             0.89391,             0.81364,             0.89342,             0.62967,            0.028651,            0.020648,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.031549,            0.028218,                   0,             0.90451,             0.80919,             0.88934,             0.63066,            0.028665,             0.02068,                   0,           0.0078418,           0.0078418,           0.0078418
