               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.031866,            0.028607,                   0,             0.87705,             0.81704,             0.87849,             0.61242,             0.02947,            0.021287,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.031611,            0.028914,                   0,              0.8921,             0.80683,             0.88248,             0.61672,            0.029272,            0.021358,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.031733,            0.028081,                   0,             0.87925,             0.80149,             0.88051,             0.61557,            0.029018,            0.021324,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.031942,            0.028366,                   0,             0.89153,             0.80431,             0.88773,             0.62322,            0.028804,            0.020897,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.031482,            0.027979,                   0,             0.87818,             0.81073,             0.88552,              0.6231,            0.028976,            0.021003,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031229,            0.028023,                   0,             0.89345,             0.81183,             0.88998,             0.63455,            0.028324,            0.020535,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031416,             0.02797,                   0,              0.8845,             0.81638,             0.88623,             0.62081,            0.028781,            0.021098,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,             0.03121,            0.027524,                   0,             0.88899,             0.81767,             0.89057,             0.62557,            0.028797,            0.020923,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.030572,            0.027173,                   0,             0.88256,             0.82666,             0.88658,              0.6274,            0.028726,            0.020808,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.031121,            0.027859,                   0,             0.88867,             0.81741,             0.89134,             0.63493,            0.028232,            0.020693,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.030488,             0.02764,                   0,             0.89003,             0.81305,             0.88684,             0.62638,            0.028564,            0.020751,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.031225,            0.028238,                   0,             0.89258,             0.81725,             0.89201,             0.63228,             0.02826,            0.020796,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030865,            0.027625,                   0,             0.88434,             0.83056,             0.89257,             0.63497,            0.028156,            0.020631,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.030641,            0.026857,                   0,             0.90302,             0.82021,             0.89269,             0.63534,            0.028039,            0.020409,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.030414,              0.0272,                   0,             0.88896,             0.82441,             0.89436,             0.63653,            0.027951,            0.020496,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.030658,            0.027086,                   0,             0.88639,             0.83539,             0.89905,             0.63823,            0.028219,            0.020818,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.030885,            0.027443,                   0,             0.89787,             0.81741,             0.89364,              0.6381,            0.028184,            0.020495,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.030815,            0.027219,                   0,             0.89118,             0.82023,             0.89601,             0.64204,            0.027721,            0.020669,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.03027,              0.0268,                   0,             0.89881,             0.82768,             0.89936,             0.64246,            0.027846,            0.020294,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.030301,            0.026965,                   0,             0.87711,             0.83385,             0.89823,             0.63964,            0.027976,            0.020365,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.030146,            0.027317,                   0,             0.90216,             0.83117,             0.89733,             0.64328,            0.027905,            0.020271,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.030082,             0.02671,                   0,             0.89093,             0.82652,             0.89539,             0.64002,            0.027897,            0.020408,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.030197,            0.027179,                   0,             0.90595,             0.81137,              0.8944,             0.64012,            0.027655,            0.020221,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.029839,            0.026395,                   0,             0.90784,             0.83256,             0.89974,             0.64889,             0.02767,            0.019998,                   0,           0.0084952,           0.0084952,           0.0084952
