Conv__model.8_cv3_conv_Conv_115                              	None	eculidean_norm=0.017302	cosine_norm=0.999850
Sigmoid__model.8_cv3_act_Sigmoid_116_Mul__model.8_cv3_act_Mul_104 	None	eculidean_norm=0.014057	cosine_norm=0.999901
Conv__model.9_cv1_conv_Conv_94                               	None	eculidean_norm=0.013666	cosine_norm=0.999906
Sigmoid__model.9_cv1_act_Sigmoid_93_Mul__model.9_cv1_act_Mul_91 	None	eculidean_norm=0.016583	cosine_norm=0.999862
MaxPool__model.9_m_MaxPool_92                                	None	eculidean_norm=0.008351	cosine_norm=0.999965
MaxPool__model.9_m_1_MaxPool_83                              	None	eculidean_norm=0.006808	cosine_norm=0.999977
MaxPool__model.9_m_2_MaxPool_82                              	None	eculidean_norm=0.006190	cosine_norm=0.999981
Concat__model.9_Concat_79                                    	None	eculidean_norm=0.007835	cosine_norm=0.999969
Conv__model.9_cv2_conv_Conv_78                               	None	eculidean_norm=0.015632	cosine_norm=0.999878
Sigmoid__model.9_cv2_act_Sigmoid_62_Mul__model.9_cv2_act_Mul_61 	None	eculidean_norm=0.009123	cosine_norm=0.999958
Conv__model.10_conv_Conv_45                                  	None	eculidean_norm=0.011383	cosine_norm=0.999935
Sigmoid__model.10_act_Sigmoid_46_Mul__model.10_act_Mul_33    	None	eculidean_norm=0.027154	cosine_norm=0.999631
Resize__model.11_Resize_119                                  	None	eculidean_norm=0.027154	cosine_norm=0.999631
Concat__model.12_Concat_107                                  	None	eculidean_norm=0.016577	cosine_norm=0.999862
Conv__model.13_cv1_conv_Conv_147                             	None	eculidean_norm=0.014664	cosine_norm=0.999892
Conv__model.13_cv2_conv_Conv_96                              	None	eculidean_norm=0.015521	cosine_norm=0.999880
Sigmoid__model.13_cv1_act_Sigmoid_134_Mul__model.13_cv1_act_Mul_133 	None	eculidean_norm=0.009845	cosine_norm=0.999952
Sigmoid__model.13_cv2_act_Sigmoid_97_Mul__model.13_cv2_act_Mul_87 	None	eculidean_norm=0.013535	cosine_norm=0.999908
Conv__model.13_m_m.0_cv1_conv_Conv_132                       	None	eculidean_norm=0.018964	cosine_norm=0.999820
Sigmoid__model.13_m_m.0_cv1_act_Sigmoid_118_Mul__model.13_m_m.0_cv1_act_Mul_117 	None	eculidean_norm=0.014639	cosine_norm=0.999893
Conv__model.13_m_m.0_cv2_conv_Conv_105                       	None	eculidean_norm=0.014839	cosine_norm=0.999890
Sigmoid__model.13_m_m.0_cv2_act_Sigmoid_106_Mul__model.13_m_m.0_cv2_act_Mul_95 	None	eculidean_norm=0.014574	cosine_norm=0.999894
Concat__model.13_Concat_85                                   	None	eculidean_norm=0.014026	cosine_norm=0.999902
Conv__model.13_cv3_conv_Conv_84                              	None	eculidean_norm=0.014759	cosine_norm=0.999891
Sigmoid__model.13_cv3_act_Sigmoid_68_Mul__model.13_cv3_act_Mul_67 	None	eculidean_norm=0.012346	cosine_norm=0.999924
Conv__model.14_conv_Conv_50                                  	None	eculidean_norm=0.015786	cosine_norm=0.999875
Sigmoid__model.14_act_Sigmoid_51_Mul__model.14_act_Mul_37    	None	eculidean_norm=0.029465	cosine_norm=0.999566
Resize__model.15_Resize_54                                   	None	eculidean_norm=0.029465	cosine_norm=0.999566
Concat__model.16_Concat_40                                   	None	eculidean_norm=0.017769	cosine_norm=0.999842
Conv__model.17_cv1_conv_Conv_86                              	None	eculidean_norm=0.018733	cosine_norm=0.999825
Conv__model.17_cv2_conv_Conv_28                              	None	eculidean_norm=0.015558	cosine_norm=0.999879
Sigmoid__model.17_cv2_act_Sigmoid_29_Mul__model.17_cv2_act_Mul_20 	None	eculidean_norm=0.010399	cosine_norm=0.999946
Sigmoid__model.17_cv1_act_Sigmoid_71_Mul__model.17_cv1_act_Mul_70 	None	eculidean_norm=0.010929	cosine_norm=0.999940
Conv__model.17_m_m.0_cv1_conv_Conv_69                        	None	eculidean_norm=0.016258	cosine_norm=0.999868
Sigmoid__model.17_m_m.0_cv1_act_Sigmoid_53_Mul__model.17_m_m.0_cv1_act_Mul_52 	None	eculidean_norm=0.014818	cosine_norm=0.999890
Conv__model.17_m_m.0_cv2_conv_Conv_38                        	None	eculidean_norm=0.018290	cosine_norm=0.999832
Sigmoid__model.17_m_m.0_cv2_act_Sigmoid_39_Mul__model.17_m_m.0_cv2_act_Mul_27 	None	eculidean_norm=0.012939	cosine_norm=0.999916
Concat__model.17_Concat_19                                   	None	eculidean_norm=0.011468	cosine_norm=0.999934
Conv__model.17_cv3_conv_Conv_13                              	None	eculidean_norm=0.018821	cosine_norm=0.999823
Sigmoid__model.17_cv3_act_Sigmoid_14_Mul__model.17_cv3_act_Mul_8 	None	eculidean_norm=0.012075	cosine_norm=0.999927
Conv__model.18_conv_Conv_65                                  	None	eculidean_norm=0.019285	cosine_norm=0.999814
Conv__model.24_m.0_Conv_5                                    	None	eculidean_norm=0.005249	cosine_norm=0.999986
Sigmoid__model.18_act_Sigmoid_66_Mul__model.18_act_Mul_49    	None	eculidean_norm=0.023715	cosine_norm=0.999719
Concat__model.19_Concat_36                                   	None	eculidean_norm=0.026133	cosine_norm=0.999659
Conv__model.20_cv1_conv_Conv_80                              	None	eculidean_norm=0.015813	cosine_norm=0.999875
Conv__model.20_cv2_conv_Conv_25                              	None	eculidean_norm=0.019568	cosine_norm=0.999809
Sigmoid__model.20_cv1_act_Sigmoid_81_Mul__model.20_cv1_act_Mul_64 	None	eculidean_norm=0.012914	cosine_norm=0.999917
Sigmoid__model.20_cv2_act_Sigmoid_26_Mul__model.20_cv2_act_Mul_18 	None	eculidean_norm=0.015008	cosine_norm=0.999887
Conv__model.20_m_m.0_cv1_conv_Conv_63                        	None	eculidean_norm=0.019917	cosine_norm=0.999802
Sigmoid__model.20_m_m.0_cv1_act_Sigmoid_48_Mul__model.20_m_m.0_cv1_act_Mul_47 	None	eculidean_norm=0.016752	cosine_norm=0.999860
Conv__model.20_m_m.0_cv2_conv_Conv_34                        	None	eculidean_norm=0.018576	cosine_norm=0.999827
Sigmoid__model.20_m_m.0_cv2_act_Sigmoid_35_Mul__model.20_m_m.0_cv2_act_Mul_24 	None	eculidean_norm=0.017922	cosine_norm=0.999839
Concat__model.20_Concat_17                                   	None	eculidean_norm=0.016275	cosine_norm=0.999868
Conv__model.20_cv3_conv_Conv_11                              	None	eculidean_norm=0.020729	cosine_norm=0.999785
Sigmoid__model.20_cv3_act_Sigmoid_12_Mul__model.20_cv3_act_Mul_7 	None	eculidean_norm=0.013436	cosine_norm=0.999910
Conv__model.21_conv_Conv_59                                  	None	eculidean_norm=0.019791	cosine_norm=0.999804
Conv__model.24_m.1_Conv_4                                    	None	eculidean_norm=0.004119	cosine_norm=0.999992
Sigmoid__model.21_act_Sigmoid_60_Mul__model.21_act_Mul_44    	None	eculidean_norm=0.030464	cosine_norm=0.999536
Concat__model.22_Concat_32                                   	None	eculidean_norm=0.028651	cosine_norm=0.999589
Conv__model.23_cv1_conv_Conv_74                              	None	eculidean_norm=0.015017	cosine_norm=0.999887
Conv__model.23_cv2_conv_Conv_22                              	None	eculidean_norm=0.015136	cosine_norm=0.999885
Sigmoid__model.23_cv1_act_Sigmoid_75_Mul__model.23_cv1_act_Mul_58 	None	eculidean_norm=0.010792	cosine_norm=0.999942
Sigmoid__model.23_cv2_act_Sigmoid_23_Mul__model.23_cv2_act_Mul_16 	None	eculidean_norm=0.011822	cosine_norm=0.999930
Conv__model.23_m_m.0_cv1_conv_Conv_57                        	None	eculidean_norm=0.015781	cosine_norm=0.999875
Sigmoid__model.23_m_m.0_cv1_act_Sigmoid_43_Mul__model.23_m_m.0_cv1_act_Mul_42 	None	eculidean_norm=0.012975	cosine_norm=0.999916
Conv__model.23_m_m.0_cv2_conv_Conv_30                        	None	eculidean_norm=0.014486	cosine_norm=0.999895
Sigmoid__model.23_m_m.0_cv2_act_Sigmoid_31_Mul__model.23_m_m.0_cv2_act_Mul_21 	None	eculidean_norm=0.013785	cosine_norm=0.999905
Concat__model.23_Concat_15                                   	None	eculidean_norm=0.012696	cosine_norm=0.999919
Conv__model.23_cv3_conv_Conv_9                               	None	eculidean_norm=0.016137	cosine_norm=0.999870
Sigmoid__model.23_cv3_act_Sigmoid_10_Mul__model.23_cv3_act_Mul_6 	None	eculidean_norm=0.011474	cosine_norm=0.999934
Conv__model.24_m.2_Conv_3                                    	None	eculidean_norm=0.003884	cosine_norm=0.999992
